Name;THE COCA-COLA - DIVIDENDS PER SHARE;PEPSICO, INC. - DIVIDENDS PER SHARE;FORD MOTOR COMPANY - DIVIDENDS PER SHARE;MONSTER BEVERAGE - DIVIDENDS PER SHARE;JOHNSON CONTROLS - DIVIDENDS PER SHARE;CONSTELLATION BRANDS - DIVIDENDS PER SHARE;MOLSON COORS BREW - DIVIDENDS PER SHARE;GENUINE PARTS CO - DIVIDENDS PER SHARE;BROWN FORMAN CORP - DIVIDENDS PER SHARE;AUTOLIV, INC. - DIVIDENDS PER SHARE;COCA-COLA ENTERPR - DIVIDENDS PER SHARE;GOODYEAR TIRE - DIVIDENDS PER SHARE;HARLEY-DAVIDSON INC. - DIVIDENDS PER SHARE;BORGWARNER INC - DIVIDENDS PER SHARE;GENTEX CORPORATION - DIVIDENDS PER SHARE;TENNECO INC. - DIVIDENDS PER SHARE;COOPER TIRE & RUB - DIVIDENDS PER SHARE;NATIONAL BEVERAGE - DIVIDENDS PER SHARE;STANDARD MOTOR - DIVIDENDS PER SHARE;BOSTON BEER COMPANY - DIVIDENDS PER SHARE;DORMAN PRODUCTS INC - DIVIDENDS PER SHARE;GENTHERM INC - DIVIDENDS PER SHARE;COCA-COLA BOTTLING - DIVIDENDS PER SHARE;MODINE MFG CO. - DIVIDENDS PER SHARE;MOTORCAR PARTS OF AM - DIVIDENDS PER SHARE;SUPERIOR INDUSTRIES - DIVIDENDS PER SHARE;#ERROR;CORE MOLDING TECHLGS - DIVIDENDS PER SHARE;CRAFT BREW - DIVIDENDS PER SHARE;CRYSTAL ROCK HOLD - DIVIDENDS PER SHARE;FUEL SYSTEMS SOLNS - DIVIDENDS PER SHARE;GLACIER WATER SVCS - DIVIDENDS PER SHARE;JPE, INC. - DIVIDENDS PER SHARE;LEADING BRANDS INC. - DIVIDENDS PER SHARE;MENDOCINO BREWING CO - DIVIDENDS PER SHARE;PROLIANCE INTL INC - DIVIDENDS PER SHARE;PURADYN FILTER TECH - DIVIDENDS PER SHARE;QS ENERGY INC - DIVIDENDS PER SHARE;QUANTUM FUEL SYSTEMS - DIVIDENDS PER SHARE;REAL BRANDS INC - DIVIDENDS PER SHARE;#ERROR;#ERROR;#ERROR;SCHEID VINEYARDS INC - DIVIDENDS PER SHARE;#ERROR;#ERROR;SENTAIDA TIRE - DIVIDENDS PER SHARE;SHILOH INDUSTRIES - DIVIDENDS PER SHARE;#ERROR;SKYPEOPLE FRUIT - DIVIDENDS PER SHARE;SMART ENERGY - DIVIDENDS PER SHARE;SORL AUTO PARTS - DIVIDENDS PER SHARE;#ERROR;#ERROR;STRATTEC SEC CORP - DIVIDENDS PER SHARE;#ERROR;TERRA INVENTIONS - DIVIDENDS PER SHARE;TITAN INTERNATIONAL - DIVIDENDS PER SHARE;TORVEC, INC. - DIVIDENDS PER SHARE;TURBODYNE TECH - DIVIDENDS PER SHARE;UNIVERSAL MFG. CO. - DIVIDENDS PER SHARE;U.S. AUTOMOTIVE MFG - DIVIDENDS PER SHARE;US ENERGY INITIATIVE - DIVIDENDS PER SHARE;TROPICAL BEVERAGE - DIVIDENDS PER SHARE;WILLAMETTE VALLEY - DIVIDENDS PER SHARE;ZAP - DIVIDENDS PER SHARE;Submitting Decomposed request 7 of 8 at 5/29/2016 6:43:37 PM please wait...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994;0,195;0,35;0,91;;0,122;0;0,25;0,767;0,255;;0,017;0,75;0,035;0,056;0;8;0,23;0;0,32;;;;1;0,505;0;0,165;"$$""ER"", E100, NO WORLDSCOPE DATA FOR THIS CODE";;;;0;0;0;;0;;;;;;"$$""ER"", E100, NO WORLDSCOPE DATA FOR THIS CODE";"$$""ER"", E100, NO WORLDSCOPE DATA FOR THIS CODE";"$$""ER"", 4540, NO DATA VALUES FOUND";;"$$""ER"", E100, NO WORLDSCOPE DATA FOR THIS CODE";"$$""ER"", E100, NO WORLDSCOPE DATA FOR THIS CODE";;0;"$$""ER"", E100, NO WORLDSCOPE DATA FOR THIS CODE";;;;"$$""ER"", E100, NO WORLDSCOPE DATA FOR THIS CODE";"$$""ER"", E100, NO WORLDSCOPE DATA FOR THIS CODE";;"$$""ER"", E100, NO WORLDSCOPE DATA FOR THIS CODE";;0,021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995;0,22;0,39;1,23;;0,132;0;0,25;0,84;0,268;;0,017;0,95;0,045;0,075;0;10,25;0,27;0;0,32;0;0;;1;0,58;0;0,195;;;0;0;0;0;0;;0;0,05;;;;;;;;;24962;10,25;;0;0,27;;;;0,173;18449;0;;;0,04;;;;;;;;;1;1,67;61713;0,58;;112054;0;;3343;0,195;;93832;;;;;;;0;;4318;0;;-2617;0;;3540;0;;5237;0;;13797;;;;0;0,08;183;0,05;;13907;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1,09;24584;;;;;;;;;;;;;;;;;;;0;1,07;14046;;;;;;;0,04;1,528;73055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,08;0,08;64162;0,2;-3,89;-2766;;;;0;;3568;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996;0,25;0,445;1,47;;0,138;0;0,25;0,893;0,28;;0,033;1,03;0,055;0,075;0;6,75;0,31;0;0,32;0;0;;1;0,66;0;0,23;;0;0;0;0;0;0;;0;0,2;;;;;;;;;35840;6,75;;0;0,31;;;;0,387;18543;0;;;0,048;;;;;;;;0;1;1,74;60511;0,66;;94291;0;;6832;0,23;;81782;;;;0;0,06;197;0;;4244;0;;-1010;0;;4132;0;;5501;0;;10696;;;;0;-0,05;-172;0,2;;21395;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1,33;28544;;;;;;;;;;;;;;;;;;;0;1,39;12599;;;;;;;0,048;1,256;61261;;;;;;;;;;;;;;;;;;;;;;0;;-824;;;;;;;;;;;;;0,08;0,458;129223;0,2;-1,135;-153;;;;0;;8605;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997;0,28;0,49;1,645;;0,146;0;0,275;0,96;0,291;0,33;0,067;1,14;0,067;0,075;0;6;0,35;0;0,32;0;0;;1;0,74;0;0,27;;0;0;0;0;0;0;;0;0,2;;;;;;;;0;47482;6;;0;0,35;;;;;21053;0;-0,12;;0,048;;;;;;;;0;1;1,82;67743;0,74;;100868;0;;10153;0,27;1,97;88184;;;;0;0,29;6596;0;-0,18;-1658;0;;838;0;;4850;0;0,13;5673;0;-0,47;8745;;;;0;-0,4;-1305;0,2;1,2;20406;;;;;;;;;;;;;;;;;;;;;;0;0,98;9433;;;;;;;;;;0;1,54;33261;;;;;;;;;;;;;;;;;;;0;2,08;15635;;;;;;;0,048;0,888;53626;;;;;;;;;;;;;;;;;;-290;;;;0;-3,382;-1334;;;;;;;;;;;;;0,08;;141478;0,2;1,24;2103;;;-24;0;0,49;11920;;;;;;;;;;;;;;;;;;;;;;;;;;;-22
1998;0,3;0,515;1,72;0;0,157;0;0,3;1;0,303;0,44;0,145;1,2;0,077;0,075;0;6;0,39;0;0,16;0;0;0;1;0,82;0;0,31;;0;0;0;0;0;0;0;0;0,2;0;;;;;;;0;67343;6;;0;0,39;;;;0,296;23471;0;1,7;;0,048;;0;0,85;0;;;0;0;1;1,78;67290;0,82;2,53;117476;0;0,99;12371;0,31;1,89;80346;;;;0;0,38;7677;0;-0,52;-362;0;0,28;2065;0;1,4;7118;0;-1,05;1098;0;-11,64;-4144;0;-5,6;-3371;0;-0,35;-2073;0,2;0,25;6231;0;-0,4;-1714;;;;;;;;;;;;;;;;;;-123;0;0,55;5288;;;;;;;;;;0;1,19;30019;;;;;;;;;;;;;;;;;;;0;2,66;21015;;;;;;;0,048;0,304;31163;;;;0;-0,88;-20539;0,85;1,24;1708;0;-65,397;-3184;;-0,12;-331;;;314;0;-0,02;386;0;-2,291;-1022;0;70;1381;0;0,32;-2900;;;;;;;0,08;-2,588;138507;0,26;2,24;3317;;;28;0;0,6;15520;0;-1;-592;0;0,06;67100;;-2165,674;-469;;;;;;;;;;;;;;;;;;-505
1999;0,32;0,535;1,88;0;0,172;0;0,322;1,04;0,315;0,44;0,16;1,2;0,087;0,075;0;4,5;0,42;0;0,34;0;0;0;1;0,9;0;0,35;;0;0;0;0;0;0;0;0;0,2;0;;;0;;;;0;85522;4,5;;0;0,42;;;;0,3;23018;0;0,66;;0,048;;0;0,6;0;0;0;0;0;1;0,38;63230;0,9;2,31;113291;0;;;0,35;2,63;105208;;;;0;0,01;2520;0;-0,2;-1709;0;0,33;2635;0;1,7;6903;0;-2,54;-93;0;-0,03;3286;0;-1,3;-4644;0;-0,27;-830;0,2;1,03;11689;0;-0,19;-924;;;;;;;0;-1,5;0;;;;;;;;;-2212;0;0,11;1053;;;;;;;;;;0;1,17;31513;;;;;;;;;;;;;;;;;;;0;3,45;26613;;;;;;;0,048;-0,408;3770;;;;0;-0,88;-20466;0,6;0,42;407;0;-2,72;-1073;0;-0,2;-452;0;;-92;0;-0,02;275;0;-2,346;-1506;0;;;0;0,355;-49;;;;;;;0,08;-4,151;131731;0,32;0,42;1216;0;0,013;34;0;0,56;16486;0;-0,8;-1015;0;1,29;88806;0;;-529;0;;650000;;;;;;;;;;;;;0;-0,08;-739
2000;0,34;0,555;1,8;0;0,192;0;0,36;1,1;0,331;0,44;0,16;1,2;0,097;0,075;0;0,2;0,42;0;0,36;0;0;0;1;0,98;0;0,39;;0;0;0;0;0;0;0;0;0,1;0;;;0;;;;0;90411;0,2;;0;0,42;;;;0,329;19920;0;0,86;0;0,048;;0;0,45;0;0;;0;0;1;0,72;62207;0,98;1,97;99038;0;;-8535;0,39;3,07;121505;;;;0;0,07;2862;0;-0,09;-1916;0;-0,22;454;0;-0,4;6097;0;-3,59;-210;0;-0,077;-2805;0;-0,929;-3261;0;-0,1;-51;0,1;-1,36;-7127;0;-0,55;-7426;;;;;;;0;-292,5;-1;;;;;;;;;;0;0,45;4833;;;;;;;;;;0;-0,88;27004;;;;;;;;;;;;;;;;;;;0;3,64;29241;;;;0;;-8;0,048;0,176;-8646;;;;0;-0,35;-7847;0,45;0,3;651;0;;;0;-0,22;-811;;;;0;0,004;409;0;-4,637;-2144;0;;;0;-0,453;-10634;;;;;;;0,08;-6,81;165265;0,23;-0,61;505;0;-0,013;-70;0;0,41;14191;0;-1,4;-1588;0;;114467;0;-3248,511;-1016;0;;570000;;;;;;;;;;;;;0;-0,044;-403
2001;0,36;0,575;1,05;0;0,21;0;0,4;1,14;0,352;0,44;0,16;1,02;0,115;0,075;0;0;0,42;0;0,36;0;0;0;1;1;0;0,43;;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;82059;0;;0;0,42;;;;0,367;24820;0;0,03;0;0,024;;0;0;0;0;;0;0;1;1,08;62018;1;0,7;61701;0;0,16;3175;0,43;2,14;85788;;;;0;-0,19;-108;0;-0,19;-1852;0;0,06;6877;0;-3,53;-21671;0;-1,96;268;0;-0,07;-3491;0;0,673;-1767;0;-0,26;-128;0;-3,09;-8539;0;-0,31;-5012;0;-0,17;-2734;;;;0;0;0;;;;;;;;;;0;0,46;5850;;;;;;;;;;0;-2,4;-29820;;;;;;;;;;;;;;;;;;;0;3,07;20562;;;;0;;-67;0,024;-1,448;-26700;;;;0;-0,11;-6108;0;0,07;529;0;;;0;-0,31;-1724;;;;0;0,01;491;0;-7,855;-6533;;;;0;-0,44;-2219;;;;;;;0,06;-15,053;142855;0;1,41;1580;0;-0,03;-203;0;0,23;4560;0;-0,4;-422;;;;0;-4331,348;-1447;0;;296000;;;;;;;;;;;;;0;-0,09;-872
2002;0,4;0,595;0,4;0;0,225;0;0,41;1,16;0,373;0,46;0,16;0,48;0,135;0,075;0;0;0,42;0;0,36;0;0;0;1;0,5;0;0,485;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;115200;0;;0;0,42;;;;0,392;26812;0;-1,03;0;0,016;;0;0;;0;;0;0;1;2,58;96266;0,5;0,94;42736;0;1,58;11241;0,485;2,97;117997;;;;0;0,19;4275;0;-0,18;-1059;0;0,12;9113;0;;-41612;0;-0,95;4186;0;0,07;10077;0;0,782;2762;0;-0,15;1229;0;0,94;7866;0;-0,23;-3315;0;-0,15;-2748;0;;-42281;0;-85,8;-136;;;;;;;;;;0;0,45;5940;;;;;;;;;;0;-1,81;2548;;;;;;;;;;;;;;;;;;;0;4,27;24272;;;;0;-9,169;-57;0,016;-1,384;-14086;;;;0;-0,09;-6451;0;;-2156;;;;0;-0,06;-658;;;;0;0,03;585;0;-0,627;-2619;;;;0;-3,16;-4441;;;;;;;0;-6,202;-5880;0;0,68;1328;0;-0,05;-412;0;0,12;3064;0;-0,4;-238;;;;0;-275;-77;0;2,24;651000;;;;;;;;;;;;;0;-0,18;-1526
2003;0,44;0,63;0,4;0;0,255;0;0,41;1,18;0,4;0,56;0,16;0;0,195;0,09;0,075;0;0,42;0;0,36;0;0;0;1;0,537;0;0,537;;0;0;0;0;0;;0;0;0;0;0;0;0;;;;0;146575;0;;0;0,42;;;0;0,413;28071;0;-0,1;0;0,016;0;0;;;0;;0;0;1;3,4;83271;0,537;1,06;54327;0;0,98;7095;0,537;2,76;100889;;;;0;0,17;4403;0;-0,3;-1676;0;0,06;6659;0;;-481;0;-0,68;5931;;;;0;-3,584;-1018;0;0;978;0;-0,65;-470;0;-0,26;-3824;0;-0,09;-2475;0;;-18336;0;-11164,815;-5232;;;;;;;;;;0;0,56;7161;;;;;;;;;;0;0,35;21345;;;;;;;;;;0;1,904;30639;;;;;;;0;4,34;25746;;;;0;-782,036;-4809;0,016;-1,4;-16220;0;-0,11;-3340;0;-0,05;-4907;;;;;;;0;-0,03;-360;;;;0;0,03;456;0;-0,445;-4346;;;;0;;;;;;;;;0;-3,026;80065;0;;;0;0;-38;0;0,51;12384;0;-0,4;-315;;;;0;-200,025;-1441;0;-0,81;535000;;;;;;;;;;;;;0;-0,1;-847
